name,year,set,cardNo,team,c,pu,so,gb,fb,bb,si,sip,du,tr,hr,points,ip,hand,icon,pos
*Francisco Cordova,'01,,29,Pirates,1,1-3,4-7,8-14,15-17,18-,19-,-,20-,-,-,190,6,R,,Starter
Tom Glavine,'03,,29,Braves,3,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+,310,6,L,,Starter
*Kazuhisha Ishii,'04,,29,Dodgers,4,1-4,5-6,7-12,13-16,17-,18-19,-,20-23,-,24+,400,7,L,,Starter
*Ryan Franklin,'03,,29,Mariners,2,1-2,3-4,5-10,11-17,18-,19-,-,20-21,-,22+,120,6,R,,Starter
**Carlos Zambrano,'03,,29,Cubs,2,1-,2-6,7-14,15-16,17-18,19-,-,20-21,-,22+,130,5,R,,Starter
**Rich Harden,'05,,30,Athletics,5,1-,2-4,5-12,13-16,17-,18-20,-,21-25,-,26+,480,7,R,,Starter
Greg Maddux,'04,,30,Braves,4,1-,2-4,5-13,14-17,-,18-19,-,20-24,-,25+,350,6,R,,Starter
Eric Gagne,'02,,30,Dodgers,3,1-2,3-8,9-13,14-18,19-,20-,-,21-,-,22+,200,1,R,,Closer
*Craig House,'01,,30,Rockies,3,1-2,3-6,7-11,12-14,15-19,20-,-,-,-,-,10,1,R,,Reliever
*B.J. Ryan,'04,,30,Orioles,5,1-2,3-9,10-14,15-16,17-18,19-23,-,24-27,-,28+,240,1,L,,Reliever
*Scott Strickland,'01,,31,Expos,5,1-2,3-8,9-13,14-16,17-,18-19,-,20-,-,-,220,1,R,,Reliever
Andy Ashby,'01,,31,Braves,2,1-2,3-5,6-13,14-17,-,18-19,-,20-,-,-,340,6,R,,Starter
*Keith Foulke,'00,,31,White Sox,4,8-10,1-7,11-13,14-18,-,19-,-,20-,-,-,350,2,R,,Reliever
John Smoltz,'05,,31,Braves,5,1-3,4-9,10-15,16-17,18-,19-22,-,23-24,-,25+,220,1,R,,Closer
**Aaron Sele,'05,,31,Mariners,1,1-3,4-5,6-12,13-15,16-,17-19,-,20-24,-,25+,20,5,R,,Starter
*Mark Mulder,'04,,31,Athletics,5,1-,2-6,7-13,14-16,17-,18-19,-,20-25,-,26+,450,7,L,,Starter
Russ Ortiz,'04,,31,Braves,3,1-4,5-8,9-14,15-16,17-,18-19,-,20-25,-,26+,290,6,R,20,Starter
*Octavio Dotel,'01,,32,Astros,6,1-3,4-8,9-10,11-14,15-16,17-18,-,19-,-,20+,200,6,R,,Starter
John Thomson,'05,,32,Braves,3,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+,290,6,R,,Starter
*Joe Beimel,'03,,32,Pirates,3,1-2,3-7,8-15,16-17,18-,19-21,-,22-,-,23+,130,1,L,,Reliever
Steve Karsay,'02,,32,Braves,4,1-,2-7,8-14,15-18,-,19-26,-,-,-,27+,230,1,R,,Reliever
*Scott Schoeneweis,'03,,33,Angels,4,1-,2-5,6-14,15-16,17-,18-19,-,20-23,-,24+,220,2,L,,Reliever
Tom Glavine,'00,,33,Braves,4,4-6,1-3,7-12,13-15,16-,17-20,-,-,-,-,450,07,L,,Starter
*Ricky Stone,'02,,33,Astros,2,1-3,4-6,9-14,15-17,18-23,-,-,-,-,24+,70,1,R,,Reliever
*Sean Lowe,'00,,33,White Sox,3,4-5,1-3,6-12,13-16,17-18,19-20,-,-,-,-,120,1,R,,Reliever
Jaret Wright,'05,,33,Braves,4,1-,2-6,7-12,13-16,17-,18-19,-,20-26,-,27+,420,6,R,,Starter
Greg Maddux,'03,,33,Braves,4,1-2,3-5,6-14,15-16,17-,18-19,-,20-24,-,25+,410,6,R,,Starter
**Jose Lima,'05,,33,Royals,4,1-2,3-5,6-12,13-16,-,17-18,-,19-21,-,22+,350,5,R,,Starter
*Nate Robertson,'04,,34,Tigers,1,1-,2-7,8-13,14-15,16-17,18-19,-,20-23,-,24+,10,5,L,R,Starter
**Glendon Rusch,'03,,34,Brewers,2,1-3,4-7,8-14,15-16,17-,18-19,-,20-22,-,23+,140,6,L,,Starter
*John Halama,'03,,34,Athletics,3,1-3,4-6,7-14,15-16,17-,18-19,-,20-21,-,22+,130,5,L,,Starter
Greg Maddux,'02,,34,Braves,4,1-3,4-7,8-14,15-17,-,18-25,-,-,-,26+,560,07,R,,Starter
*Carl Pavano,'01,,34,Expos,2,1-3,4-6,7-13,14-17,18-,19-20,-,-,-,-,400,6,R,,Starter
Kevin Millwood,'03,,34,Braves,4,1-,2-6,7-12,13-16,17-,18-19,-,20-23,-,24+,440,6,R,,Starter
Buddy Groom,'05,,34,Orioles,1,1-,2-4,5-11,12-15,16-,17-19,-,20-24,-,25+,20,1,L,,Reliever
Travis Driskill,'04,,35,Orioles,2,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+,60,2,R,,Reliever
Tom Glavine,'01,,35,Braves,3,1-3,4-6,7-13,14-17,-,18-19,-,20-,-,-,480,07,L,,Starter
Jamie Moyer,'03,,35,Mariners,5,1-2,3-6,7-11,12-16,17-,18-19,-,20-21,-,22+,540,7,L,,Starter
Jason Marquis,'02,,35,Braves,1,1-3,4-7,8-14,15-19,20-23,-,-,-,-,24+,350,07,R,,Starter
Tom Glavine,'01,,35,Braves,3,1-3,4-6,7-13,14-17,-,18-19,-,20-,-,-,480,07,L,,Starter
Jon Lieber,'03,,36,Cubs,4,1-4,5-7,8-14,15-16,-,17-19,-,20-22,-,23+,350,7,R,,Starter
*Hideki Irabu,'01,,36,Expos,3,1-3,4-7,8-12,13-16,-,17-19,-,20-,-,-,320,6,R,,Starter
John Smoltz,'03,,36,Braves,5,1-2,3-8,9-14,15-16,17-,18-19,-,20-25,-,26+,210,1,R,RP,Closer
**Tim Worrell,'04,,36,Phillies,4,1-,2-5,6-13,14-15,16-17,18-19,-,20-25,-,26+,160,1,R,,Reliever
Mike Remlinger,'02,,36,Braves,2,1-4,5-12,13-15,16-19,-,20-22,-,-,-,23+,120,1,L,,Reliever
Jorge Julio,'05,,36,Orioles,2,1-2,3-7,8-12,13-16,17-18,19-21,-,22-23,-,24+,130,1,R,,Closer
*Ryan Drese,'02,,36,Indians,3,1-3,4-7,8-16,17-,18-,19-,-,20-27,-,28+,110,2,R,,Reliever
*Tom Gordon,'01,,37,Cubs,6,1-,2-7,8-13,14-16,17-,18-19,-,20-,-,-,300,1,R,,Closer
**Ray King,'03,,37,Braves,3,1-,2-5,6-13,14-17,18-,19-21,-,22-23,-,24+,150,1,L,,Reliever
*Denny Neagle,'00,,37,Reds,6,5-6,1-4,7-9,10-15,16-17,-,-,18-19,-,20+,350,6,L,,Starter
**Wilson Alvarez,'05,,37,Dodgers,4,1-4,5-9,10-14,15-17,18-,19-22,-,23-24,-,25+,440,5,L,,Starter
*Jake Peavy,'04,,37,Padres,4,1-,2-6,7-13,14-18,19-,20-23,-,24-27,-,28+,540,7,R,,Starter
Rodrigo Lopez,'05,,37,Orioles,4,1-3,4-7,8-14,15-17,18-,19-21,-,22-23,-,24+,420,5,R,,Starter
Mark Mulder,'03,,37,Athletics,5,1-,2-5,6-12,13-16,17-,18-19,-,20-22,-,23+,500,7,L,,Starter
*Esteban Loaiza,'04,,38,White Sox,4,1-5,6-8,9-14,15-16,17-,18-20,-,21-,-,22+,300,7,R,,Starter
Roger Clemens,'03,,38,Yankees,3,1-2,3-7,8-13,14-16,17-,18-19,-,20-23,-,24+,300,6,R,,Starter
Pat Hentgen,'04,,38,Orioles,3,1-,2-4,5-10,11-15,16-17,18-19,-,20-23,-,24+,210,6,R,,Starter
Robb Nen,'02,,38,Giants,4,1-3,4-10,11-15,16-18,19-,20-25,-,-,-,26+,280,1,R,,Closer
*Steve Parris,'00,,38,Reds,3,5-6,1-4,7-12,13-16,17-,18-19,-,20-,-,-,340,6,R,,Starter
*Mike MacDougal,'03,,38,Royals,2,1-2,3-6,7-14,15-16,17-18,19-21,-,22-,-,23+,150,1,R,,Closer
*Dennys Reyes,'00,,39,Reds,3,8-9,1-7,10-14,15-16,17-19,20-,-,-,-,-,130,1,L,,Reliever
*Mike Stanton,'04,,39,Mets,5,1-3,4-6,7-13,14-17,18-,19-23,-,24-27,-,28+,300,1,L,,Reliever
**Tom Gordon,'04,,39,Yankees,4,1-,2-8,9-14,15-16,17-,18-19,-,20-24,-,25+,170,1,R,,Reliever
**Matt Perisho,'05,,39,Marlins,2,1-4,5-9,10-14,15-16,17-18,19-,-,20-23,-,24+,110,1,L,,Reliever
Jorge Julio,'04,,39,Orioles,2,1-2,3-7,8-13,14-18,19-20,21-22,-,23-,-,24+,70,1,R,,Closer
*Kris Benson,'03,,39,Pirates,3,1-3,4-7,8-12,13-16,17-,18-19,-,20-22,-,23+,150,6,R,,Starter
Vicente Padilla,'02,,39,Phillies,4,1-2,3-6,7-15,16-,-,17-19,-,20-25,-,26+,390,07,R,,Starter
Rodrigo Lopez,'04,,40,Orioles,1,1-3,4-7,8-14,15-16,17-,18-19,-,20-23,-,24+,10,6,R,,Starter
Odalis Perez,'02,,40,Dodgers,4,1-3,4-8,9-13,14-16,17-,18-20,-,21-,-,22+,330,07,L,,Starter
**Roberto Hernandez,'05,,40,Mets,1,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+,30,1,R,,Reliever
*Francisco Cordero,'03,,40,Rangers,3,1-,2-8,9-14,15-17,18-,19-21,-,22-,-,23+,180,1,R,,Reliever
*Kevin Gregg,'04,,40,Angels,5,1-2,3-7,8-12,13-16,17-,18-19,-,20-27,-,28+,320,2,R,R,Reliever
*Tom Gordon,'03,,41,White Sox,4,1-3,4-10,11-15,16-,17-18,19-,-,20-22,-,23+,180,1,R,,Reliever
B.J. Ryan,'05,,41,Orioles,5,1-,2-9,10-14,15-17,18-,19-23,-,24-26,-,27+,240,1,L,,Reliever
Greg Maddux,'00,,41,Braves,5,5-7,1-4,8-13,14-15,-,16-19,-,20-,-,-,480,07,R,,Starter
*Chuck Finley,'00,,41,Indians,5,6-7,1-5,8-11,12-15,16-17,18-19,-,20-,-,-,460,6,L,,Starter
*Bob Wickman,'02,,41,Indians,4,1-2,3-8,9-15,16-17,-,18-27,-,-,-,28+,210,1,R,,Closer
*Rob Bell,'01,,41,Reds,6,1-2,3-6,7-10,11-14,15-16,17-18,-,19-,-,20+,190,5,R,,Starter
*Steve Trachsel,'04,,41,Mets,4,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+,320,6,R,,Starter
Greg Maddux,'01,,42,Braves,6,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-,590,07,R,,Starter
Greg Maddux,'01,,42,Braves,6,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-,590,07,R,,Starter
*Jason Schmidt,'01,,42,Pirates,2,1-2,3-6,7-12,13-16,17-18,19-,-,20-,-,-,200,6,R,,Starter
*Roy Halladay,'02,,42,Blue Jays,5,1-2,3-6,7-15,16-17,-,18-19,-,20-26,-,27+,560,07,R,,Starter
Kevin Millwood,'00,,42,Braves,3,7-9,1-6,10-13,14-18,-,19-,-,20-,-,-,550,07,R,,Starter
Greg Maddux,'01,,42,Braves,6,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-,590,07,R,,Starter
*Steve Karsay,'00,,42,Indians,6,6-8,1-5,9-13,14-15,16-17,18-19,-,20-,-,-,190,1,R,,Closer
**Aquilino Lopez,'04,,43,Blue Jays,4,1-2,3-7,8-11,12-16,17-18,19-21,-,22-23,-,24+,190,1,R,R,Reliever
*Shingo Takatsu,'04,,43,White Sox,5,1-2,3-8,9-11,12-18,-,19-21,-,22-23,-,24+,340,1,R,R,Reliever
Buddy Groom,'02,,43,Orioles,2,1-4,5-9,10-16,17-19,-,20-26,-,-,-,27+,140,1,L,,Reliever
*Chad Bradford,'03,,43,Athletics,5,1-4,5-13,14-15,16-17,18-19,-,20-23,-,24+,,190,1,R,,Reliever
**J. C. Romero,'03,,43,Twins,4,1-,2-6,7-13,14-15,16-17,18-19,-,20-22,-,23+,150,1,L,,Reliever
*Steve Reed,'00,,43,Indians,5,5-6,1-4,7-11,12-15,16-,17-19,-,20-,-,-,130,1,R,,Reliever
Kevin Millwood,'01,,43,Braves,3,1-3,4-7,8-11,12-17,-,18-19,-,20-,-,-,410,6,R,,Starter
*Rod Beck,'01,,43,Red Sox,6,1-3,4-7,8-12,13-15,16-,17-19,-,20-,-,-,220,1,R,,Reliever
**Brett Myers,'05,,43,Phillies,2,1-2,3-5,6-12,13-15,16-,17-18,-,19-22,-,23+,100,6,R,,Starter
*Paul Rigdon,'01,,44,Brewers,4,1-3,4-6,7-11,12-16,17-,18-19,-,-,-,20+,290,5,R,,Starter
*Derek Lowe,'02,,44,Red Sox,4,1-4,5-10,11-15,16-19,-,20-25,-,-,-,26+,460,07,R,,Starter
**Carlos Silva,'05,,44,Twins,4,1-2,3-7,8-14,15-16,17-,18-20,-,21-25,-,26+,370,7,R,,Starter
**Paul Shuey,'03,,44,Dodgers,4,1-2,3-7,8-15,16-,17-,18-19,-,20-22,-,23+,170,1,R,,Reliever
Jorge Julio,'03,,44,Orioles,4,1-2,3-6,7-12,13-16,17-,18-19,-,20-23,-,24+,180,1,R,R,Reliever
Mike Remlinger,'00,,44,Braves,6,7-8,1-6,9-12,13-15,16-17,18-20,-,-,-,-,170,1,L,,Reliever
*Jaret Wright,'00,,44,Indians,0,5-7,1-4,8-13,14-18,19-,20-,-,-,-,-,60,5,R,,Starter
Mike Remlinger,'01,,44,Braves,3,1-2,3-8,9-14,15-17,18-19,20-,-,-,-,-,200,1,L,,Reliever
**Julian Tavarez,'04,,44,Cardinals,4,1-5,6-8,9-14,15-16,17-,18-22,-,23-25,-,26+,190,1,R,,Reliever
*Dan Miceli,'01,,45,Marlins,4,1-3,4-7,8-12,13-16,17-,18-20,-,-,-,-,200,1,R,,Reliever
John Rocker,'00,,45,Braves,5,10-11,1-9,12-13,14-16,17-18,19-20,-,-,-,-,200,1,L,,Closer
John Rocker,'01,,45,Braves,3,1-3,4-11,12-13,14-16,17-19,20-,-,-,-,-,130,1,L,,Closer
Alan Embree,'03,,45,Red Sox,5,1-2,3-5,6-13,14-17,18-,19-,-,20-23,-,24+,260,1,L,,Reliever
Rodrigo Lopez,'03,,45,Orioles,4,1-3,4-7,8-13,14-16,17-,18-19,-,20-22,-,23+,420,6,R,R,Starter
Jason Johnson,'02,,45,Orioles,2,1-4,5-7,8-13,14-17,18-,19-,-,20-,-,21+,170,6,R,,Starter
**Randy Johnson,'05,,45,Yankees,6,1-2,3-9,10-13,14-16,17-,18-20,-,21-25,-,26+,600,7,L,,Starter
Curt Schilling,'02,,45,Diamondbacks,5,1-2,3-10,11-14,15-18,-,19-,-,20-,-,21+,640,07,R,,Starter
**Jeremy Bonderman,'05,,46,Tigers,3,1-3,4-8,9-14,15-16,17-,18-19,-,20-23,-,24+,300,6,R,,Starter
**Runelvys Hernandez,'03,,46,Royals,3,1-3,4-6,7-15,16-,17-,18-19,-,20-,-,21+,180,5,R,R,Starter
*Mike Timlin,'03,,46,Red Sox,5,1-2,3-4,5-13,14-17,-,18-19,-,20-22,-,23+,190,1,R,,Reliever
*Paul Shuey,'02,,46,Indians,5,1-,2-10,11-15,16-17,-,18-19,-,20-26,-,27+,160,1,R,,Reliever
Alan Embree,'04,,46,Red Sox,4,1-2,3-7,8-13,14-16,17-,18-19,-,20-24,-,25+,150,1,L,,Reliever
John Smoltz,'02,,46,Braves,4,1-2,3-8,9-14,15-18,-,19-,-,20-22,-,23+,260,1,R,,Closer
*Ricky Bones,'01,,46,Marlins,2,1-2,3-6,7-13,14-17,-,18-20,-,-,-,-,140,1,R,,Reliever
Jesse Orosco,'03,,46,Dodgers,4,1-5,6-9,10-14,15-16,17-,18-19,-,20-,-,21+,160,1,L,,Reliever
Alan Embree,'05,,46,Red Sox,5,1-2,3-6,7-11,12-16,17-,18-19,-,20-23,-,24+,190,1,L,,Reliever
John Smoltz,'00,,46,Braves,6,6-7,1-5,8-12,13-15,16-,17-19,-,20-,-,-,550,6,R,,Starter
*D.J. Carrasco,'03,,47,Royals,5,1-,2-6,7-12,13-16,17-,18-19,-,20-,-,21+,200,1,R,R,Reliever
Keith Foulke,'05,,47,Red Sox,5,1-,2-6,7-10,11-16,17-,18-19,-,20-24,-,25+,240,1,R,,Closer
Mike Stanton,'03,,47,Yankees,3,1-3,4-6,7-12,13-16,17-,18-19,-,20-25,-,26+,140,1,L,,Reliever
**Braden Looper,'03,,47,Marlins,2,1-,2-5,6-12,13-16,17-,18-,-,19-22,-,23+,60,1,R,,Reliever
*Mike Hampton,'01,,47,Rockies,5,1-2,3-5,6-12,13-14,15-16,17-19,-,20-,-,-,390,07,L,,Starter
*Cliff Politte,'01,,48,Phillies,1,1-3,4-8,9-13,14-17,18-19,20-,-,-,-,-,130,5,R,,Starter
*Kip Wells,'04,,48,Pirates,3,1-2,3-7,8-13,14-17,18-,19-23,-,24-26,-,27+,360,6,R,,Starter
Sidney Ponson,'03,,48,Orioles,3,1-3,4-7,8-14,15-16,17-,18-19,-,20-,-,21+,270,6,R,,Starter
Brandon Duckworth,'03,,48,Phillies,2,1-2,3-8,9-13,14-16,17-,18-19,-,20-,-,21+,170,5,R,R,Starter
Byung-Hyun Kim,'04,,48,Red Sox,4,1-3,4-8,9-15,16-17,18-,19-22,-,23-25,-,26+,190,1,R,,Closer
B.J. Ryan,'02,,48,Orioles,3,1-3,4-9,10-14,15-17,18-19,20-22,-,-,-,23+,100,1,L,,Reliever
Troy Percival,'03,,49,Angels,5,1-3,4-10,11-13,14-16,17-19,20-22,-,23-25,-,26+,240,1,R,,Closer
Derek Lowe,'04,,49,Red Sox,2,1-2,3-5,6-15,16-,17-,18-19,-,20-25,-,26+,110,6,R,,Starter
Pedro Martinez,'05,,49,Red Sox,4,1-,2-7,8-11,12-16,17-,18-19,-,20-23,-,24+,390,7,R,K,Starter
Josh Towers,'02,,49,Orioles,4,1-4,5-6,7-11,12-16,-,17-19,-,20-,-,21+,220,07,R,,Starter
John Burkett,'03,,50,Red Sox,1,1-,2-5,6-12,13-16,17-,18-19,-,20-21,-,22+,30,6,R,,Starter
Pedro Martinez,'04,,50,Red Sox,5,1-2,3-8,9-14,15-17,-,18-19,-,20-26,-,27+,510,7,R,K,Starter
Rolando Arrojo,'02,,50,Red Sox,4,1-3,4-7,8-14,15-17,18-,19-,-,20-26,-,27+,150,2,R,,Reliever
*Ramiro Mendoza,'01,,50,Yankees,4,1-2,3-5,6-12,13-16,-,7-19,-,20-,-,-,290,2,R,,Reliever
Mike Williams,'02,,50,Pirates,3,1-4,5-9,10-13,14-18,19-,-,-,20-,-,21+,200,1,R,,Closer
Robb Nen,'03,,50,Giants,5,1-,2-7,8-13,14-16,17-,18-22,-,23-26,-,27+,230,1,R,,Closer
**Billy Koch,'03,,51,White Sox,4,1-3,4-8,9-14,15-16,17-18,19-22,-,23-24,-,25+,190,1,R,,Closer
*Doug Brocail,'00,,51,Tigers,4,7-8,1-6,9-13,14-17,18-,19-20,-,-,-,-,160,1,R,,Reliever
Rod Beck,'02,,51,Red Sox,3,1-3,4-8,9-14,15-18,-,19-,-,-,-,20+,50,1,R,,Reliever
*Ricardo Rodriguez,'03,,51,Indians,4,1-2,3-5,6-13,14-16,17-,18-19,-,20-23,-,24+,210,6,R,R,Starter
*Pedro Martinez,'04,,51,Red Sox,5,1-3,4-8,9-13,14-17,-,18-20,-,21-23,-,24+,440,6,R,,Starter
**Chris Carpenter,'05,,52,Cardinals,4,1-5,6-13,14-16,17-,18-19,-,20-23,-,24+,,270,7,R,,Starter
**LaTroy Hawkins,'04,,52,Cubs,5,1-4,5-9,10-14,15-16,17-,18-22,-,23-25,-,26+,220,1,R,,Reliever
**Brandon Villafuerte,'03,,52,Padres,3,2-5,6-14,15-17,18-,19-21,-,22-,-,23+,,170,2,R,R,Reliever
Buddy Groom,'01,,52,Orioles,5,1-2,3-6,7-12,13-15,16-,17-19,-,20-,-,-,170,1,L,,Reliever
*B.J. Ryan,'03,,52,Orioles,4,1-,2-8,9-15,16-,17-18,19-22,-,23-25,-,26+,210,1,L,,Reliever
*Mark Guthrie,'01,,53,Athletics,3,1-3,4-8,9-13,14-16,17-,18-20,-,-,-,-,140,1,L,,Reliever
Alan Embree,'03,,53,Red Sox,5,1-2,3-5,6-13,14-17,18-,19-,-,20-23,-,24+,260,1,L,,Reliever
**Ricardo Rincon,'03,,53,Athletics,5,1-2,3-7,8-13,14-16,17-,18-19,-,20-25,-,26+,190,1,L,,Reliever
David Cone,'02,,53,Red Sox,1,1-4,5-9,10-15,16-18,19-,20-21,-,-,-,22+,260,5,R,,Starter
**Pat Hentgen,'04,,53,Blue Jays,3,1-3,4-6,7-13,14-16,17-18,19-,-,20-24,-,25+,220,6,R,,Starter
*Kenny Rogers,'04,,53,Rangers,4,1-2,3-5,6-11,12-17,18-,19-20,-,21-24,-,25+,450,7,L,,Starter
*Tony Armas Jr.,'01,,54,Expos,4,1-3,4-6,7-12,13-16,17-18,19-,-,20-,-,-,450,6,R,,Starter
Curt Schilling,'05,,54,Red Sox,5,1-2,3-6,7-12,13-16,17-,18-19,-,20-24,-,25+,480,7,R,20,Starter
**Eddie Guardado,'04,,54,Mariners,6,1-2,3-8,9-14,15-17,18-,19-,-,20-23,-,24+,240,1,L,,Closer
*Rheal Cormier,'03,,54,Phillies,5,1-,2-5,6-12,13-16,17-,18-19,-,20-,-,21+,210,1,L,,Reliever
*Hideo Nomo,'00,,54,Tigers,3,7-8,1-6,9-11,12-16,17-,18-,-,19-,-,20+,220,07,R,,Starter
*Felix Heredia,'03,,55,Reds,5,1-,2-3,4-11,12-16,17-18,19-,-,20-25,-,26+,210,2,L,,Reliever
Rich Garces,'02,,55,Red Sox,4,1-3,4-7,8-13,14-17,18-,19-,-,20-24,-,25+,120,1,R,,Reliever
Mike Timlin,'05,,55,Red Sox,4,1-3,4-6,7-14,15-16,17-,18-19,-,20-24,-,25+,150,1,R,,Reliever
Scott Erickson,'00,,55,Orioles,4,3-4,1-2,5-12,13-15,16-,17-19,-,20-,-,-,400,07,R,,Starter
Jose Mercedes,'01,,55,Orioles,2,1-3,4-6,7-12,13-17,18-,19-,-,20-,-,-,310,6,R,,Starter
*Nate Cornejo,'02,,55,Tigers,1,1-4,5-6,7-13,14-15,16-17,18-19,-,-,-,20+,10,5,R,,Starter
Derek Lowe,'03,,56,Red Sox,5,1-2,3-5,6-15,16-,17-,18-20,-,21-25,-,26+,580,07,R,20,Starter
Tim Wakefield,'04,,56,Red Sox,3,1-4,5-8,9-14,15-16,17-,18-19,-,20-24,-,25+,250,6,R,,Starter
Derek Lowe,'02,,56,Red Sox,1,1-3,4-9,10-18,19-,-,20-26,-,-,-,27+,80,1,R,,Reliever
**Cal Eldred,'05,,56,Cardinals,3,1-2,3-6,7-11,12-15,16-,17-18,-,19-22,-,23+,60,1,R,,Reliever
Mike Mussina,'00,,57,Orioles,3,6-7,1-5,8-13,14-17,-,18-19,-,20-,-,-,470,07,R,,Starter
Mike Mussina,'01,,57,Orioles,3,1-3,4-8,9-14,15-17,-,18-19,-,20-,-,-,450,07,R,,Starter
*Alex Fernandez,'00,,57,Marlins,4,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-,450,6,R,,Starter
**Ugueth Urbina,'03,,57,Rangers,5,1-3,4-10,11-13,14-17,18-,19-,-,20-,-,21+,210,1,R,,Closer
Pedro Martinez,'03,,57,Red Sox,6,1-,2-7,8-12,13-16,17-,18-20,-,21-23,-,24+,660,07,R,"K,20",Starter
Mike Mussina,'01,,57,Orioles,3,1-3,4-8,9-14,15-17,-,18-19,-,20-,-,-,450,07,R,,Starter
*Ted Lilly,'03,,58,Athletics,4,1-5,6-9,10-14,15-16,17-,18-19,-,20-25,-,26+,220,6,L,,Starter
Hideo Nomo,'02,,58,Red Sox,1,1-4,5-12,13-16,17-19,20-21,-,-,-,-,22+,330,6,R,,Starter
*Juan Guzman,'01,,58,Devil Rays,4,1-4,5-8,9-13,14-16,17-,18-19,-,-,-,20+,360,07,R,,Starter
Jesse Orosco,'00,,58,Orioles,3,7-,1-6,8-12,13-16,17-18,19-,-,20-,-,-,110,1,L,,Reliever
Antonio Alfonseca,'04,,58,Cubs,1,1-,2-5,6-14,15-16,17-18,19-22,-,23-24,-,25+,40,1,R,,Reliever
Sidney Ponson,'01,,58,Orioles,2,1-3,4-7,8-13,14-17,18-,19-20,-,-,-,-,410,07,R,,Starter
**Luis Vizcaino,'03,,58,Brewers,5,1-3,4-8,9-12,13-17,18-,19-,-,20-22,-,23+,210,1,R,,Reliever
*Dan Miceli,'00,,59,Marlins,3,6-7,1-5,8-13,14-16,17-18,19-20,-,-,-,-,120,1,R,,Reliever
Pat Rapp,'01,,59,Orioles,5,1-2,3-5,6-10,11-14,15-16,17-18,-,19-20,-,-,240,6,R,,Starter
**Ben Weber,'03,,59,Angels,4,1-3,4-13,14-15,16-,17-20,-,21-,-,22+,,210,1,R,,Reliever
Sidney Ponson,'00,,59,Orioles,3,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-,370,07,R,,Starter
*R.A. Dickey,'04,,59,Rangers,3,1-3,4-6,7-14,15-16,17-18,19-20,-,21-22,-,23+,470,7,R,,Starter
Matt Clement,'05,,59,Cubs,3,1-,2-7,8-14,15-17,18-,19-21,-,22-23,-,24+,370,6,R,,Starter
*Jeff D'Amico,'03,,60,Pirates,4,1-2,3-5,6-12,13-16,17-,18-19,-,20-21,-,22+,230,6,R,,Starter
**Kerry Wood,'03,,60,Cubs,3,1-2,3-8,9-13,14-16,17-,18-19,-,20-22,-,23+,210,6,R,,Starter
**Ismael Valdez,'05,,60,Marlins,2,1-3,4-5,6-12,13-15,16-,17-18,-,19-22,-,23+,100,5,R,,Starter
**Kerry Wood,'03,,60,Cubs,3,1-2,3-8,9-13,14-16,17-,18-19,-,20-22,-,23+,210,6,R,,Starter
Kyle Farnsworth,'05,,60,Cubs,2,1-2,3-9,10-14,15-17,18-,19-21,-,22-23,-,24+,100,1,R,,Reliever
**Keith Foulke,'04,,60,Red Sox,6,1-2,3-7,8-11,12-17,18-,19-,-,20-23,-,24+,260,1,R,,Closer
*Vladimir Nunez,'00,,60,Marlins,3,6-7,1-5,8-11,12-16,17-18,19-,-,20-,-,-,340,6,R,,Starter
Ugueth Urbina,'03,,61,Red Sox,5,1-3,4-10,11-13,14-17,18-,19-,-,20-21,-,22+,210,1,R,,Closer
**Nate Bump,'05,,61,Marlins,1,1-,2-4,5-13,14-15,16-,17-19,-,20-25,-,26+,30,1,R,,Reliever
**Tim Worrell,'03,,61,Giants,5,1-4,5-8,9-13,14-16,17-,18-19,-,20-25,-,26+,210,1,R,,Reliever
*Adam Eaton,'03,,61,Padres,4,1-6,7-13,14-17,18-,19-,-,20-25,-,26+,,240,6,R,,Starter
**David Wells,'05,,62,Red Sox,5,1-,2-4,5-12,13-16,-,17-19,-,20-23,-,24+,420,6,L,,Starter
LaTroy Hawkins,'05,,62,Cubs,5,1-3,4-8,9-14,15-17,18-,19-21,-,22-23,-,24+,220,1,R,,Closer
Mike Tromley,'01,,62,Orioles,5,1-2,3-7,8-12,13-15,16-17,18-19,-,-,-,20+,100,1,R,,Reliever
*Alan Embree,'01,,62,Giants,3,1-3,4-8,9-11,12-16,17-,18-19,-,20-,-,-,80,1,L,,Reliever
*Travis Harper,'03,,62,Devil Rays,5,1-2,3-7,8-14,15-17,18-,19-22,-,23-25,-,26+,290,2,R,,Reliever
Rolando Arrojo,'01,,63,Red Sox,1,1-3,4-7,8-14,15-17,18-,19-,-,20-,-,-,130,5,R,,Starter
Kyle Farnsworth,'02,,63,Cubs,3,1-3,4-11,12-14,15-18,19-,20-24,-,-,-,25+,160,1,R,,Reliever
